77,30,53,53,1799,218,477,0.457,59,159,0.371,159,318,0.5,0.519,60,68,0.882,19,141,160,468,47,3,104,94,555
78,37,59,53,1352,128,287,0.446,2,5,0.4,126,282,0.447,0.449,29,64,0.453,157,373,530,107,50,85,57,126,287
79,34,44,0,277,14,55,0.255,10,49,0.204,4,6,0.667,0.345,5,6,0.833,4,30,34,16,8,2,8,38,43
80,25,24,9,348,43,105,0.41,7,19,0.368,36,86,0.419,0.443,14,16,0.875,28,25,53,18,12,1,11,37,107
81,31,53,2,596,52,157,0.331,8,43,0.186,44,114,0.386,0.357,30,38,0.789,8,50,58,38,16,7,24,52,142
82,36,24,0,209,17,53,0.321,5,17,0.294,12,36,0.333,0.368,8,10,0.8,5,28,33,34,8,4,17,20,47
83,35,61,40,1542,223,542,0.411,74,205,0.361,149,337,0.442,0.48,95,115,0.826,32,173,205,139,56,25,84,134,615
84,23,65,35,1341,166,412,0.403,53,168,0.315,113,244,0.463,0.467,74,108,0.685,63,165,228,66,37,21,64,115,459
85,25,64,64,1825,223,498,0.448,101,260,0.388,122,238,0.513,0.549,80,101,0.792,16,155,171,222,97,11,142,166,627
86,29,62,62,2061,241,355,0.679,0,2,0,241,353,0.683,0.679,217,315,0.689,212,400,612,56,56,89,102,186,699
87,24,8,6,215,31,79,0.392,3,12,0.25,28,67,0.418,0.411,10,12,0.833,6,35,41,17,6,6,18,18,75
88,28,34,0,491,48,99,0.485,4,24,0.167,44,75,0.587,0.505,0,2,0,31,64,95,34,14,6,9,38,100
89,24,45,1,559,51,139,0.367,0,0,,51,139,0.367,0.367,21,29,0.724,35,89,124,18,12,32,25,72,123
90,23,65,2,1260,177,450,0.393,21,76,0.276,156,374,0.417,0.417,66,85,0.776,21,70,91,133,44,2,105,124,441
91,33,30,10,308,16,40,0.4,0,0,,16,40,0.4,0.4,7,15,0.467,12,36,48,10,4,3,10,34,39
92,24,60,56,1878,230,523,0.44,34,94,0.362,196,429,0.457,0.472,127,153,0.83,30,157,187,287,49,14,114,101,621
93,31,63,0,1307,120,201,0.597,0,1,0,120,200,0.6,0.597,44,62,0.71,119,155,274,82,33,28,61,153,284
94,24,62,61,2174,296,684,0.433,60,159,0.377,236,525,0.45,0.477,136,158,0.861,22,134,156,404,136,11,125,133,788
